text,volume,competition_level,competition_index,low_bid,high_bid,trend
enterprise dbms,10,LOW,14,0.0,0.0,-1.52
dbms products,20,LOW,14,0.0,0.0,19.7
sqlite dbms,1600,LOW,8,2.29,13.85,-1.17
dbms server,10,LOW,8,0.0,0.0,13.64
latest database software,10,LOW,29,0.0,0.0,0.0
common database software,70,LOW,8,2.55,6.86,-1.76
relational model in dbms,390,LOW,1,1.543793,22.445,-0.58
functions of database management system,20,LOW,6,0.0,0.0,6.06
dbms tutorialspoint,40,LOW,1,0.0,0.0,0.93
basics of database management system,70,LOW,30,1.85,5.27,2.71
distributed database in dbms,70,LOW,4,2.88,12.56,4.29
most popular database software,20,LOW,17,2.57,22.17,7.58
dbms for beginners,20,MEDIUM,60,3.39,16.35,9.85
no sql database technologies,10,LOW,29,0.0,0.0,0.0
best dbms software,1000,MEDIUM,42,3.59,18.1,11.24
db2 dbms,1000,LOW,7,3.43,7.155,0.8
data storage management in dbms,10,MEDIUM,57,0.0,0.0,0.0
clickhouse online,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms information,10,MEDIUM,33,0.0,0.0,0.0
data warehouse in dbms,10,LOW,3,0.0,0.0,0.0
dbms functions,140,LOW,1,0.0,0.0,2.65
relational data model in dbms,390,LOW,1,1.543793,22.445,-0.58
dbms solutions,20,LOW,7,0.0,0.0,1.52
file database system,90,LOW,9,3.81,13.63,4.12
sql nosql databases,90,LOW,12,2.069999,9.9,9.7
view sql database,70,LOW,4,4.52,15.0,7.91
data storage in dbms,10,LOW,0,0.0,0.0,0.0
database management system concepts,50,LOW,14,1.9,4.159999,2.08
dbms application software,10,MEDIUM,57,0.0,0.0,0.0
explain database security,40,LOW,2,0.0,0.0,2.1
dbms management system,10,MEDIUM,57,0.0,0.0,0.0
rdbms software list,10,MEDIUM,57,0.0,0.0,0.0
database management system is,50,LOW,0,0.0,0.0,10.26
define data in dbms,70,LOW,1,0.0,0.0,7.31
software for creating and managing database,10,UNSPECIFIED,0,0.0,0.0,-9.09
10 advantages of dbms,10,LOW,0,0.0,0.0,0.0
1nf 2nf 3nf in dbms,20,LOW,0,0.0,0.0,12.12
1nf dbms,30,LOW,0,0.0,0.0,15.91
1nf in dbms,30,LOW,0,0.0,0.0,15.91
2nf dbms,110,LOW,3,0.0,0.0,8.12
2nf example in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
2nf in dbms,110,LOW,3,0.0,0.0,8.12
3 architecture of dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
3 layer architecture of dbms,10,LOW,4,0.0,0.0,0.0
3 schema architecture of dbms,20,LOW,2,0.0,0.0,34.85
3nf dbms,260,LOW,0,0.0,0.0,-2.41
3nf example in dbms,10,LOW,0,0.0,0.0,0.0
3nf in dbms with examples,30,LOW,0,0.0,0.0,18.48
3nf normalization in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
3rd normalization in dbms,260,LOW,1,0.0,0.0,-6.44
4 types of dbms,30,LOW,3,0.0,0.0,26.21
4nf in dbms,70,LOW,0,0.0,0.0,3.16
4nf in dbms with example,10,UNSPECIFIED,0,0.0,0.0,0.0
5 advantages of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
5nf in dbms,20,LOW,1,0.0,0.0,30.3
6nf in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
a database management system dbms,210,LOW,2,0.0,0.0,7.62
a database management system dbms is,210,LOW,2,0.0,0.0,7.62
a database management system dbms is a,210,LOW,2,0.0,0.0,7.62
a database management system is a type of software,10,UNSPECIFIED,0,0.0,0.0,0.0
a dbms,210,LOW,2,0.0,0.0,7.62
a dbms is a,210,LOW,2,0.0,0.0,7.62
a dbms is a type of software,10,LOW,0,0.0,0.0,0.0
a dbms makes the,170,LOW,0,0.0,0.0,57.46
a transparent dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
about dbms in computer,0,UNSPECIFIED,0,0.0,0.0,0.0
about sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
active database in dbms,10,LOW,0,0.0,0.0,9.09
adbms,30,LOW,0,0.0,0.0,24.39
additional basic operations in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
administrator in dbms,0,UNSPECIFIED,0,0.0,0.0,-0.0
advanced database system,170,LOW,6,3.29,21.13,1.96
advanced dbms,10,LOW,29,0.0,0.0,0.0
advanced sql in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
advantages and applications of dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of a database system,110,LOW,4,2.735293,6.51,1.86
advantages of database management,110,LOW,4,2.735293,6.51,1.86
advantages of database management system dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of dbms are,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of dbms in computer,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of dbms over file based system,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of dbms over file management system,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of dbms over file processing system,10,LOW,0,0.0,0.0,0.0
advantages of dbms over file system,10,LOW,0,0.0,0.0,12.12
advantages of dbms over traditional file system,10,UNSPECIFIED,0,0.0,0.0,-9.09
advantages of normalization in dbms,50,LOW,1,0.0,0.0,18.12
advantages of pl sql in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
advantages of rdbms over dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of relational model in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
advantages of sql in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
advantages of using a dbms,10,LOW,0,0.0,0.0,4.55
advantages of using database management system,10,LOW,0,0.0,0.0,4.55
all about dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
apa itu database management system,10,UNSPECIFIED,0,0.0,0.0,0.0
api in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
application architecture in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
application of database system in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
application of dbms in computer,0,UNSPECIFIED,0,0.0,0.0,0.0
application program in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
application programmer in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
applications of dbms in real life,10,UNSPECIFIED,0,0.0,0.0,0.0
applications of dbms ppt,0,UNSPECIFIED,0,0.0,0.0,0.0
architecture of a dbms,170,LOW,4,2.65,5.04,4.04
architecture of database management system,170,LOW,4,2.65,5.04,4.04
architecture of database system includes,0,UNSPECIFIED,0,0.0,0.0,0.0
architecture of dbms with diagram,170,LOW,14,2.76,16.030001,3.89
architecture of distributed database in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
architecture of distributed database management system,10,LOW,22,0.0,0.0,4.55
architecture of distributed database system,10,LOW,0,0.0,0.0,0.0
aries dbms,10,LOW,0,0.0,0.0,0.0
artificial key in dbms,10,LOW,0,0.0,0.0,0.0
base dbms,70,LOW,30,1.85,5.27,2.71
base in dbms,10,LOW,0,0.0,0.0,0.0
base management system,10,LOW,18,0.0,0.0,0.0
basic concepts of database management system,50,LOW,16,1.12,4.72,2.68
basic concepts of dbms,10,LOW,2,0.0,0.0,-1.52
basic dbms queries,10,UNSPECIFIED,0,0.0,0.0,0.0
basic file operations in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
basic sql queries in dbms,10,UNSPECIFIED,0,0.0,0.0,9.09
basic structure of sql in dbms,10,UNSPECIFIED,0,0.0,0.0,9.09
basic structure of sql queries in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
beginnersbook com dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
better data integration in dbms,10,LOW,21,0.0,0.0,9.09
between dbms and rdbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
big data dbms,20,LOW,0,0.0,0.0,19.7
binary relational operations in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
binary relationship in dbms,30,LOW,1,0.0,0.0,-5.63
buffer management in dbms,30,LOW,6,0.0,0.0,7.73
by data security in dbms we mean,10,UNSPECIFIED,0,0.0,0.0,0.0
candidate key dbms,320,LOW,0,0.0,0.0,-5.97
candidate key in dbms with example,10,LOW,5,0.0,0.0,12.12
centralised dbms architecture,20,LOW,19,0.0,0.0,12.88
centralized architecture in dbms,20,LOW,19,0.0,0.0,12.88
centralized dbms,20,LOW,6,0.0,0.0,11.36
centralized system in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
clickhouse yandex,50,LOW,4,0.0,0.0,0.06
client server architecture dbms,50,LOW,2,0.0,0.0,-5.02
client server dbms,70,LOW,7,0.0,0.0,-3.04
client server system in dbms,70,LOW,7,0.0,0.0,-3.04
codasyl dbms,10,LOW,7,0.0,0.0,4.55
coding ninjas dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
commercial dbms,10,LOW,7,0.0,0.0,4.55
complex queries in dbms,10,LOW,19,0.0,0.0,0.0
componentsof dbms,260,LOW,3,1.73,6.85,0.15
composite key dbms,10,LOW,0,0.0,0.0,0.0
composite key in dbms,210,LOW,0,0.0,0.0,0.45
composite key in dbms with example,10,LOW,0,0.0,0.0,0.0
compound key in dbms,20,LOW,0,0.0,0.0,16.67
concept of normalization in dbms,20,LOW,4,0.0,0.0,15.15
concepts of schema in dbms,10,LOW,0,0.0,0.0,9.09
conventional file system in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
cost based optimization in dbms,10,LOW,0,0.0,0.0,9.09
crash recovery in dbms,10,LOW,0,0.0,0.0,4.55
create a table in dbms,110,LOW,4,2.35,8.319999,0.79
create in dbms,10,LOW,7,0.0,0.0,9.09
create table dbms,10,LOW,0,0.0,0.0,9.09
data administration in dbms,10,LOW,0,0.0,0.0,9.09
data architecture in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
data base language in dbms,20,LOW,3,0.0,0.0,14.39
data base system in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
data control language in dbms,50,LOW,0,0.0,0.0,0.77
data database and dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
data dbms,8100,LOW,5,3.34,14.11,0.2
data design in dbms,10,LOW,12,0.0,0.0,13.64
data in database management system,20,LOW,6,0.0,0.0,7.58
data languages in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
data manager in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
data mining dbms,30,LOW,8,0.0,0.0,3.9
data model and its types in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
data model example in dbms,10,LOW,29,0.0,0.0,0.0
data model types in dbms,20,LOW,1,0.0,0.0,9.09
data modeling in rdbms,10,LOW,0,0.0,0.0,9.09
data normalization in dbms,2400,LOW,1,0.76,6.17,-2.85
data processing in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
data recovery in dbms,30,LOW,6,0.0,0.0,38.38
data schema in dbms,10,LOW,29,0.0,0.0,0.0
data server in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
data structure in dbms,10,LOW,0,0.0,0.0,0.0
data type in dbms,10,LOW,0,0.0,0.0,4.55
data type in sql in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
data types in dbms with examples,10,UNSPECIFIED,0,0.0,0.0,-9.09
data types of sql in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
data view in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
data warehousing and data mining in dbms,10,LOW,17,3.97,14.01,7.58
database administrator in dbms,40,LOW,4,0.0,0.0,-8.74
database and dbms,10,LOW,6,0.0,0.0,0.0
database and information system,90,LOW,10,3.46,9.02,-2.36
database application in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
database architecture in dbms,10,LOW,4,0.0,0.0,0.0
database concepts in dbms,0,UNSPECIFIED,0,0.0,0.0,0.0
database description in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
database design and er diagram in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
database design in dbms ppt,10,UNSPECIFIED,0,0.0,0.0,0.0
database design process in dbms,90,LOW,2,0.0,0.0,4.07
database designer in dbms,10,MEDIUM,57,0.0,0.0,0.0
database in information system,90,LOW,10,3.46,9.02,-2.36
database languages in dbms with examples,10,UNSPECIFIED,0,0.0,0.0,0.0
database life cycle in dbms,10,LOW,0,0.0,0.0,0.0
database management architecture,70,MEDIUM,35,4.88,15.65,1.65
database management information system,10,MEDIUM,49,4.27,9.9,7.58
database management system dbms is,10,UNSPECIFIED,0,0.0,0.0,0.0
database management system dbms is a,10,UNSPECIFIED,0,0.0,0.0,-9.09
database management system explain,10,LOW,0,0.0,0.0,9.09
database management system in dbms,10,LOW,0,0.0,0.0,9.09
database management system in mis,10,UNSPECIFIED,0,0.0,0.0,0.0
database management system is a,10,UNSPECIFIED,0,0.0,0.0,-9.09
database management system is a type of,10,UNSPECIFIED,0,0.0,0.0,-9.09
database management system is a type of software,10,LOW,0,0.0,0.0,0.0
database management system is a type of which software,10,UNSPECIFIED,0,0.0,0.0,-9.09
database management system is which type of software,10,UNSPECIFIED,0,0.0,0.0,-9.09
database management system means,40,LOW,1,0.0,0.0,5.61
database management system software examples,20,LOW,17,3.99,12.37,8.33
database manager in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
database model in dbms,40,LOW,2,0.0,0.0,2.25
database normalization in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
database operations in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
database recovery in dbms,30,LOW,6,0.0,0.0,38.38
database recovery management in dbms,10,LOW,0,0.0,0.0,0.0
database schema in dbms,30,LOW,0,0.0,0.0,43.33
database schema in dbms with example,10,UNSPECIFIED,0,0.0,0.0,0.0
database security in dbms ppt,10,MEDIUM,50,0.0,0.0,22.73
database storage system,320,MEDIUM,39,6.96,19.29,10.23
database system application in dbms,20,LOW,9,2.4,11.86,21.21
database system architecture in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
database system are used for,10,LOW,7,0.0,0.0,9.09
database system concepts and architecture,10,LOW,21,0.0,0.0,4.55
database system concepts in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
database system structure,40,LOW,8,0.0,0.0,11.78
database system types,590,LOW,3,2.23,6.09,0.32
database types in dbms,10,LOW,0,0.0,0.0,4.55
database utilities in dbms,10,LOW,29,0.0,0.0,0.0
database what is it,20,LOW,3,0.0,0.0,13.64
db dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
db2 in dbms,10,UNSPECIFIED,0,0.0,0.0,0.0
dba dbms,40,LOW,4,0.0,0.0,-8.74
dba functions in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbm s,8100,LOW,5,3.34,14.11,0.2
dbms administrator,10,LOW,0,0.0,0.0,0.0
dbms advantages over file system,10,LOW,0,0.0,0.0,12.12
dbms and its advantages,10,LOW,0,0.0,0.0,9.09
dbms and its applications,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms and its functions,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms and its types,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms and rdbms examples,10,LOW,5,0.0,0.0,10.61
dbms and sql,210,LOW,8,5.98,25.0,-4.44
dbms and types,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms application examples,10,MEDIUM,43,0.0,0.0,0.0
dbms apps,20,LOW,22,3.79,15.0,10.61
dbms architecture in dbms,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms architecture ppt,10,UNSPECIFIED,0,0.0,0.0,9.09
dbms architecture types,10,LOW,7,0.0,0.0,-4.55
dbms basics for beginners,10,LOW,0,0.0,0.0,0.0
dbms by korth,10,LOW,0,0.0,0.0,4.55
dbms by navathe,10,LOW,0,0.0,0.0,5.3
dbms by raghu ramakrishnan,20,MEDIUM,35,2.65,5.95,18.94
dbms by w3schools,10,LOW,0,0.0,0.0,0.0
dbms candidate key,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms code,10,LOW,0,0.0,0.0,0.0
dbms coding ninjas,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms company,10,LOW,16,4.24,19.0,22.73
dbms computer,30,LOW,21,3.26,12.775454,12.12
dbms computer science,10,LOW,0,0.0,0.0,0.0
dbms coursera,10,MEDIUM,38,0.0,0.0,0.0
dbms degree,10,LOW,0,0.0,0.0,0.0
dbms design,4400,LOW,9,1.88,6.92,-1.29
dbms examples in real life,10,LOW,4,0.0,0.0,0.0
dbms excel,20,LOW,0,0.0,0.0,1.52
dbms file,10,LOW,0,0.0,0.0,0.0
dbms file system,10,LOW,14,0.0,0.0,-4.55
dbms for placements,10,LOW,29,0.0,0.0,0.0
dbms foreign key,720,LOW,0,0.0,0.0,-0.99
dbms fundamentals,10,LOW,17,0.0,0.0,13.64
dbms github,10,LOW,0,0.0,0.0,0.0
dbms guru99,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms helps in,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms hierarchical model,720,LOW,2,1.51,8.02,-1.36
dbms in accounting,0,UNSPECIFIED,0,0.0,0.0,0.0
dbms in business application,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms in computer science,10,LOW,0,0.0,0.0,0.0
dbms in detail,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms in gis,10,UNSPECIFIED,0,0.0,0.0,9.09
dbms in mis,10,MEDIUM,49,4.27,9.9,7.58
dbms in python,10,LOW,0,0.0,0.0,0.0
dbms in simple words,10,LOW,0,0.0,0.0,0.0
dbms in w3schools,10,LOW,0,0.0,0.0,0.0
dbms invented by,10,UNSPECIFIED,0,0.0,0.0,0.0
dbms is,90,LOW,2,0.0,0.0,89.77
dbms is a collection of,10,LOW,0,0.0,0.0,0.0
dbms is a collection of that enables,0,UNSPECIFIED,0,0.0,0.0,0.0
dbms is a software,10,UNSPECIFIED,0,0.0,0.0,-9.09
dbms is a system software,10,LOW,0,0.0,0.0,9.09
dbms is a to manage the data in the database,0,UNSPECIFIED,0,0.0,0.0,0.0
dbms is a type of,10,UNSPECIFIED,0,0.0,0.0,0.0
